Point Id,,,,,,Easting,Northing,Elevation
DEFAULT23,,,,,,,,
293,,,,,,-3.5066,-2.79,7.2294
294,,,,,,-3.5021,-2.7864,5.7509
295,,,,,,-3.4945,-2.7799,3.8722
296,,,,,,-3.4862,-2.7734,2.1974
297,,,,,,-3.4769,-2.7656,0.2347
298,,,,,,-3.457,-4.2628,0.1908
299,,,,,,-3.4642,-4.2716,2.1533
300,,,,,,-3.4737,-4.2832,3.8826
301,,,,,,-3.4821,-4.2931,5.8048
302,,,,,,-3.4799,-4.2909,7.173
303,,,,,,-3.4861,-4.2986,8.745
304,,,,,,-3.4787,-4.7157,8.5435
305,,,,,,-3.475,-4.7106,7.2521
306,,,,,,-3.4747,-4.7099,5.6946
307,,,,,,-3.4679,-4.7002,3.9058
308,,,,,,-3.4591,-4.6884,2.1562
309,,,,,,-3.4545,-4.6823,0.8012
310,,,,,,-3.4322,-6.1962,0.7624
311,,,,,,-3.4397,-6.2097,2.5635
312,,,,,,-3.4441,-6.2168,4.2868
313,,,,,,-3.4494,-6.2266,5.8507
314,,,,,,-3.4568,-6.2406,7.3727
315,,,,,,-3.4585,-6.244,8.5018
316,,,,,,-3.4529,-6.6049,8.2635
317,,,,,,-3.4505,-6.5999,7.1033
318,,,,,,-3.4439,-6.5869,5.794
319,,,,,,-3.4392,-6.5779,4.013
320,,,,,,-3.4343,-6.5684,2.1767
321,,,,,,-3.4307,-6.5613,0.7588
322,,,,,,-3.7966,-7.9467,8.9142
323,,,,,,-3.7836,-7.9193,7.352
324,,,,,,-3.779,-7.9094,5.6345
325,,,,,,-3.7746,-7.9001,4.1593
326,,,,,,-3.7732,-7.8963,2.3893
327,,,,,,-3.7707,-7.892,2.0233
328,,,,,,-3.7791,-8.1943,2.2087
329,,,,,,-3.7775,-8.1901,3.8049
330,,,,,,-3.7806,-8.1958,5.667
331,,,,,,-3.7836,-8.2043,7.2467
332,,,,,,-3.7885,-8.215,8.2129
333,,,,,,-3.7951,-8.2297,8.8789
334,,,,,,-3.6898,-8.3137,8.8846
335,,,,,,-3.69,-8.3136,7.2629
336,,,,,,-3.6916,-8.3164,5.3825
337,,,,,,-3.6922,-8.3169,3.9277
338,,,,,,-3.7029,-8.3399,2.3237
339,,,,,,-3.6926,-8.3186,2.0475
340,,,,,,-3.2687,-8.3105,8.8672
341,,,,,,-3.2698,-8.313,7.363
342,,,,,,-3.2717,-8.3176,5.8638
343,,,,,,-3.2708,-8.3155,4.2563
344,,,,,,-3.2706,-8.3138,2.8881
345,,,,,,-3.2702,-8.3135,1.9636
346,,,,,,-1.8161,-8.2862,0.5237
347,,,,,,-1.8158,-8.2847,1.9422
348,,,,,,-1.8156,-8.2855,3.64
349,,,,,,-1.8158,-8.2869,5.3262
350,,,,,,-1.8167,-8.2917,7.1771
351,,,,,,-1.8176,-8.2964,8.633
352,,,,,,-1.3527,-8.2947,8.5524
353,,,,,,-1.3516,-8.2865,6.7534
354,,,,,,-1.3518,-8.2869,4.8594
355,,,,,,-1.3524,-8.2864,2.6367
356,,,,,,-1.3519,-8.2864,1.2834
357,,,,,,-1.3514,-8.2836,0.2875
358,,,,,,0.0809,-8.2658,0.3509
359,,,,,,0.0809,-8.2646,1.561
360,,,,,,0.081,-8.2647,3.2931
361,,,,,,0.0813,-8.2623,4.9043
362,,,,,,0.0818,-8.2604,6.849
363,,,,,,0.0814,-8.2605,8.4015
364,,,,,,0.5346,-8.2487,8.4057
365,,,,,,0.5349,-8.2578,6.7956
366,,,,,,0.5357,-8.266,4.7755
367,,,,,,0.5353,-8.2619,2.9266
368,,,,,,0.535,-8.2583,1.4512
369,,,,,,0.5349,-8.2572,0.2928
370,,,,,,2.028,-8.2288,7.4218
371,,,,,,2.0296,-8.235,6.2207
372,,,,,,2.0292,-8.2339,4.3128
373,,,,,,2.0289,-8.2329,3.3138
374,,,,,,2.0292,-8.2345,1.6863
375,,,,,,1.9756,-8.2406,0.4056
376,,,,,,2.4047,-8.2295,1.0125
377,,,,,,2.404,-8.2274,2.5264
378,,,,,,2.4037,-8.2267,3.7732
379,,,,,,2.349,-8.2279,5.2383
380,,,,,,2.3492,-8.2289,6.4052
381,,,,,,2.3487,-8.227,7.4028
382,,,,,,3.2554,-7.498,3.859
383,,,,,,3.2584,-7.5049,4.8748
384,,,,,,3.2588,-7.5056,7.1398
385,,,,,,2.9211,-7.5088,7.2405
386,,,,,,2.9251,-7.5192,6.2544
387,,,,,,2.9203,-7.5063,4.4358
388,,,,,,2.9204,-7.5069,3.0234
389,,,,,,2.9206,-7.508,2.0767
390,,,,,,1.5146,-7.5369,0.2663
391,,,,,,1.5135,-7.5322,1.3105
392,,,,,,1.5134,-7.532,3.1046
393,,,,,,1.4853,-7.3909,4.5171
394,,,,,,1.5126,-7.5267,6.3371
395,,,,,,1.0064,-7.528,8.6814
396,,,,,,1.0082,-7.5388,7.0031
397,,,,,,1.0077,-7.5357,5.752
398,,,,,,1.0087,-7.5451,3.9705
399,,,,,,1.0084,-7.543,1.8746
400,,,,,,1.0081,-7.5409,0.3345
401,,,,,,-0.4687,-7.563,0.4692
402,,,,,,-0.4686,-7.5621,2.5832
403,,,,,,-0.4687,-7.5614,4.3243
404,,,,,,-0.4686,-7.5617,6.2278
405,,,,,,-0.4686,-7.5637,7.2712
406,,,,,,-0.4692,-7.5715,8.8058
407,,,,,,-0.9047,-7.5736,8.8502
408,,,,,,-0.9044,-7.569,7.4145
409,,,,,,-0.9044,-7.5681,6.2377
410,,,,,,-0.9045,-7.5692,4.0962
411,,,,,,-0.9047,-7.5684,2.3824
412,,,,,,-0.9043,-7.5669,1.2735
413,,,,,,-2.3257,-7.5755,0.2813
414,,,,,,-2.3266,-7.5791,1.9271
415,,,,,,-2.3279,-7.5831,3.8486
416,,,,,,-2.3289,-7.5864,5.6021
417,,,,,,-2.3301,-7.5914,7.4099
418,,,,,,-2.3307,-7.5925,8.4465
419,,,,,,-2.8051,-7.5966,8.5119
420,,,,,,-2.8068,-7.6009,6.4636
421,,,,,,-2.8068,-7.6007,4.6283
422,,,,,,-2.8049,-7.5954,3.2237
