Point Id	Easting	Northing	Elevation	Code	
DEFAULT22					
412	-2.8139	1.1595	7.5991		
413	-1.7715	1.1649	7.6204		
414	-2.7159	-1.8229	7.6055		
415	-1.5457	-1.8221	7.5137		
416	-2.5275	-4.0626	7.6091		
417	-1.6992	-4.3343	7.6318		
418	-0.4687	-3.9610	9.0888		
419	0.3606	-3.9912	9.0877		
420	1.4364	-3.9215	9.0901		
421	2.3799	-3.8166	9.0945		
422	3.1730	-3.8371	9.0969		
423	3.2774	-2.7282	9.0852		
424	2.2582	-2.8044	9.0852		
425	0.9753	-2.9786	9.0856		
426	-0.3098	-3.1686	9.0848		
427	-0.3523	-1.9015	9.0830		
428	1.1923	-1.7002	9.0793		
429	2.2737	-1.7704	9.0779		
430	3.2554	-1.6774	9.0776		
431	4.0852	0.6210	9.0767		
432	2.5490	0.3875	9.0765		
433	0.6897	0.3637	9.0746		
434	-0.5565	0.4716	9.0747		
435	-0.6896	2.1187	9.0688		
436	0.6420	2.1707	9.0683		
437	1.8047	2.1629	9.0658		
438	2.8681	2.3220	9.0689		
439	3.9704	2.5861	9.0722		
440	3.8603	4.4785	9.0737		
441	2.6370	4.4945	9.0676		
442	0.6164	4.4811	9.0604		
443	-0.5865	4.3175	9.0644		
444	-0.1073	6.2373	9.0618		
445	1.1863	6.2118	9.0637		
446	2.6898	6.3286	9.0646		
447	3.9309	6.6000	9.0697		
448	2.6721	8.4326	9.0588		
449	1.4155	8.1608	9.0567		
450	0.5737	8.5367	9.0571		
451	-0.6444	8.3461	9.0580		
452	-2.5696	7.9069	-0.0073		
453	-1.6847	7.2782	-0.0135		
454	-0.6061	7.0355	-0.0174		
455	0.6262	7.4091	-0.0127		
456	2.1404	7.7004	-0.0119		
457	3.1576	7.4543	-0.0044		
458	3.3077	5.7609	0.0031		
459	2.3952	5.8879	-0.0001		
460	1.2952	5.7531	-0.0003		
461	-0.3343	5.5188	-0.0091		
462	-1.1139	5.4263	-0.0129		
463	-2.1658	5.5751	-0.0123		
464	-2.4280	3.4596	-0.0054		
465	-1.5796	3.3254	-0.0006		
466	-0.5571	3.2341	-0.0049		
467	0.6937	3.1038	0.0037		
468	2.3115	3.0000	0.0007		
469	3.8183	2.9659	0.0022		
470	3.4092	1.2100	0.0014		
471	2.3183	1.1195	-0.0035		
472	1.3130	1.1202	0.0013		
473	-0.5507	1.4379	-0.0072		
474	-1.4482	1.2078	-0.0091		
475	-2.0955	1.2073	-0.0132		
476	-1.8450	-0.5331	-0.0032		
477	-0.8136	-0.6832	0.0020		
478	0.1696	-0.8964	0.0004		
